Event Date,Facility Type,Department/Office Incident Took Place,Occupational Category of Person Affected,Aggressor,Type of Violence,Primary Contributing Factors,Severity of Assault,Primary Assault Description,Assault Description,Emotional and/ or Psychological Impact,Level of Care Needed,Response Action Taken,Split Roles,General Role,General Violence_Category,General Location,General Advanced Location,General Severity Category,General Severity Numerical,General Emotional Numerical
1/9/2024,ED,Nurses station,"Nurse (RN, LPN), Nurse (RN, LPN)",Patient,Physical,Homelessness/Lack of Housing,Mild - Mild Soreness/Abrasions/Scratches/Small Bruises,"Verbal Assault, Pushing/Shoving, Harassment",Head-butted another patient,Mild,,"Security Called, Law Enforcement Called, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,1.0
1/9/2024,ED,Nurses station,"Nurse (RN, LPN), Nurse (RN, LPN)",Patient,Verbal,Homelessness/Lack of Housing,Mild - Mild Soreness/Abrasions/Scratches/Small Bruises,"Verbal Assault, Pushing/Shoving, Harassment",Head-butted another patient,Mild,,"Security Called, Law Enforcement Called, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,Mild,1.0,1.0
1/9/2024,ED,Nurses station,"Nurse (RN, LPN), Nurse (RN, LPN)",Patient,Physical,Homelessness/Lack of Housing,Mild - Mild Soreness/Abrasions/Scratches/Small Bruises,"Verbal Assault, Pushing/Shoving, Harassment",Head-butted another patient,Mild,,"Security Called, Law Enforcement Called, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,1.0
1/9/2024,ED,Nurses station,"Nurse (RN, LPN), Nurse (RN, LPN)",Patient,Verbal,Homelessness/Lack of Housing,Mild - Mild Soreness/Abrasions/Scratches/Small Bruises,"Verbal Assault, Pushing/Shoving, Harassment",Head-butted another patient,Mild,,"Security Called, Law Enforcement Called, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,Mild,1.0,1.0
2/6/2024,ED,Patient room,"Nurse (RN, LPN), Security, Allied Health/Technologist",Patient,Physical,"Altered Mental Status, Inpatient Bed Unavailable",None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Verbal Assault, Pushing/Shoving",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/6/2024,ED,Patient room,"Nurse (RN, LPN), Security, Allied Health/Technologist",Patient,Verbal,"Altered Mental Status, Inpatient Bed Unavailable",None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Verbal Assault, Pushing/Shoving",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/6/2024,ED,Patient room,"Nurse (RN, LPN), Security, Allied Health/Technologist",Patient,Physical,"Altered Mental Status, Inpatient Bed Unavailable",None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Verbal Assault, Pushing/Shoving",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Security,Security,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/6/2024,ED,Patient room,"Nurse (RN, LPN), Security, Allied Health/Technologist",Patient,Verbal,"Altered Mental Status, Inpatient Bed Unavailable",None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Verbal Assault, Pushing/Shoving",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Security,Security,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/6/2024,ED,Patient room,"Nurse (RN, LPN), Security, Allied Health/Technologist",Patient,Physical,"Altered Mental Status, Inpatient Bed Unavailable",None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Verbal Assault, Pushing/Shoving",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Allied Health/Technologist,Allied Health,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/6/2024,ED,Patient room,"Nurse (RN, LPN), Security, Allied Health/Technologist",Patient,Verbal,"Altered Mental Status, Inpatient Bed Unavailable",None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Verbal Assault, Pushing/Shoving",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Allied Health/Technologist,Allied Health,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
