date,aggressor,response,role,violence type,location,general location,severity,emotion,care,factor,description
1/9/2024,Patient,"Security Called, Law Enforcement Called, De-escalation Techniques",Nurse,Physical Violence,ED/ER,Clinical Unit,1.0,1.0,,homelessness lack housing,verbal assault push shoving harassment head butt patient
1/9/2024,Patient,"Security Called, Law Enforcement Called, De-escalation Techniques",Nurse,Verbal Abuse,ED/ER,Clinical Unit,1.0,1.0,,homelessness lack housing,verbal assault push shoving harassment head butt patient
1/9/2024,Patient,"Security Called, Law Enforcement Called, De-escalation Techniques",Nurse,Physical Violence,ED/ER,Clinical Unit,1.0,1.0,,homelessness lack housing,verbal assault push shoving harassment head butt patient
1/9/2024,Patient,"Security Called, Law Enforcement Called, De-escalation Techniques",Nurse,Verbal Abuse,ED/ER,Clinical Unit,1.0,1.0,,homelessness lack housing,verbal assault push shoving harassment head butt patient
2/6/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Nurse,Physical Violence,ED/ER,Clinical Unit,0.0,0.0,,alter mental status inpatient bed unavailable,grab pinching scratch hair pull kicking hit beating verbal assault push shoving
2/6/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Nurse,Verbal Abuse,ED/ER,Clinical Unit,0.0,0.0,,alter mental status inpatient bed unavailable,grab pinching scratch hair pull kicking hit beating verbal assault push shoving
2/6/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Security,Physical Violence,ED/ER,Clinical Unit,0.0,0.0,,alter mental status inpatient bed unavailable,grab pinching scratch hair pull kicking hit beating verbal assault push shoving
2/6/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Security,Verbal Abuse,ED/ER,Clinical Unit,0.0,0.0,,alter mental status inpatient bed unavailable,grab pinching scratch hair pull kicking hit beating verbal assault push shoving
2/6/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Allied Health,Physical Violence,ED/ER,Clinical Unit,0.0,0.0,,alter mental status inpatient bed unavailable,grab pinching scratch hair pull kicking hit beating verbal assault push shoving
2/6/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",Allied Health,Verbal Abuse,ED/ER,Clinical Unit,0.0,0.0,,alter mental status inpatient bed unavailable,grab pinching scratch hair pull kicking hit beating verbal assault push shoving
2/9/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Nurse,Physical Violence,ED/ER,Clinical Unit,0.0,0.0,,inpatient bed unavailable,posturing throw object break object
2/9/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Nurse,Verbal Abuse,ED/ER,Clinical Unit,0.0,0.0,,inpatient bed unavailable,posturing throw object break object
2/9/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Physician/APP,Physical Violence,ED/ER,Clinical Unit,0.0,0.0,,inpatient bed unavailable,posturing throw object break object
2/9/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Physician/APP,Verbal Abuse,ED/ER,Clinical Unit,0.0,0.0,,inpatient bed unavailable,posturing throw object break object
2/9/2024,Patient,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Allied Health,Physical Violence,ED/ER,Clinical Unit,0.0,0.0,,inpatient bed unavailable,posturing throw object break object
