aggressor,role,violence type,location,general location,severity,emotion,care,response,month,day,day_of_week,is_weekend,Moon Phase,Full Moon,Precipitation,Temperature,topic,topic_label,desc_topic,desc_topic_label
0.0,0.0,0.0,0.0,0.0,1.0,1.0,,"Security Called, Law Enforcement Called, De-escalation Techniques",1,9,1,0,0.9153668254764392,1,8.3,25.5,6,"housing, homelessness, lack",6,"verbal, assault, harassment"
0.0,0.0,1.0,0.0,0.0,1.0,1.0,,"Security Called, Law Enforcement Called, De-escalation Techniques",1,9,1,0,0.9153668254764392,1,8.3,25.5,6,"housing, homelessness, lack",6,"verbal, assault, harassment"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,,"Security Called, Law Enforcement Called, De-escalation Techniques",1,9,1,0,0.9153668254764392,1,8.3,25.5,6,"housing, homelessness, lack",6,"verbal, assault, harassment"
0.0,0.0,1.0,0.0,0.0,1.0,1.0,,"Security Called, Law Enforcement Called, De-escalation Techniques",1,9,1,0,0.9153668254764392,1,8.3,25.5,6,"housing, homelessness, lack",6,"verbal, assault, harassment"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",2,6,1,0,0.8656555764550591,0,0.0,31.55,11,"psychiatric, guardian, abandon",5,"verbal, pinching, hair"
0.0,0.0,1.0,0.0,0.0,0.0,0.0,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",2,6,1,0,0.8656555764550591,0,0.0,31.55,11,"psychiatric, guardian, abandon",5,"verbal, pinching, hair"
0.0,2.0,0.0,0.0,0.0,0.0,0.0,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",2,6,1,0,0.8656555764550591,0,0.0,31.55,11,"psychiatric, guardian, abandon",5,"verbal, pinching, hair"
0.0,2.0,1.0,0.0,0.0,0.0,0.0,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",2,6,1,0,0.8656555764550591,0,0.0,31.55,11,"psychiatric, guardian, abandon",5,"verbal, pinching, hair"
0.0,1.0,0.0,0.0,0.0,0.0,0.0,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",2,6,1,0,0.8656555764550591,0,0.0,31.55,11,"psychiatric, guardian, abandon",5,"verbal, pinching, hair"
0.0,1.0,1.0,0.0,0.0,0.0,0.0,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques",2,6,1,0,0.8656555764550591,0,0.0,31.55,11,"psychiatric, guardian, abandon",5,"verbal, pinching, hair"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",2,9,4,0,0.9674900983212256,1,0.0,38.15,2,"inpatient, bed, unavailable",3,"object, break, posturing"
0.0,0.0,1.0,0.0,0.0,0.0,0.0,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",2,9,4,0,0.9674900983212256,1,0.0,38.15,2,"inpatient, bed, unavailable",3,"object, break, posturing"
