Event Date,MHA Facility Type,WPV Job Role,WPV Class of Individual,WPV Event Type,WPV Type of Violence WPV,WPV Org Contributing Factors,MHA Severity of Assault,WPV Psych Impact,Injury Assessed by,WPV Staff Immediate Action
1/1/2025,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized
1/1/2025,Other,Allied Health/Technologist,Inpatient,Physical,Sexual Comments and Harrassment; Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor
1/1/2025,Other,<N/S>,Inpatient,Physical,Kicked,<N/S>,Mild,Severe - Significant Emotional and/or psychological impact resulting in missed work.,ED,Notified Supervisor
1/1/2025,Other,<N/S>,Inpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor
1/2/2025,Other,<N/S>,Outpatient,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Clinical Physician Resources; Notified Supervisor
1/3/2025,Other,Other,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",N/A or Unknown,None,<N/S>,<N/S>,Notified Supervisor
1/3/2025,ED,<N/S>,Outpatient,Physical,Hit w/ Fist; Pushed; Threat of Violence; Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called 911; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold
1/3/2025,Other,Allied Health/Technologist,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized
1/3/2025,Other,Allied Health/Technologist,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized
1/2/2025,Other,<N/S>,Outpatient,Written/Digital,Sexual harassment ; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor
1/3/2025,Other,Allied Health/Technologist,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized
1/3/2025,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; throwing items; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor
1/3/2025,ED,<N/S>,Outpatient,Property Damage/Vandalism,aggression with property- personal,N/A or Unknown,None,<N/S>,<N/S>,Notified Supervisor
1/4/2025,ED,Administration/Support Services,Other,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Racial / Cultural Comments; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Physical Hold
1/4/2025,ED,<N/S>,Outpatient,Physical,Assault w/ Bodily Fluids,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Security; Notified Supervisor
1/5/2025,Other,<N/S>,Inpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized
1/5/2025,ED,<N/S>,Outpatient,Physical,Kicked,<N/S>,None,<N/S>,<N/S>,Notified Supervisor
1/5/2025,Other,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Chemical Restraint; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor; Physical Hold
1/5/2025,Other,<N/S>,Inpatient,Verbal,Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor
1/6/2025,Other,<N/S>,Outpatient,Verbal,Stalking or Terrorizing,<N/S>,None,<N/S>,<N/S>,Notified Supervisor
1/6/2025,Other,<N/S>,Outpatient,Physical,Bitten,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,Other (please specify),De-escalation Techniques Utilized
1/7/2025,ED,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor
1/5/2025,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Hit w/ Fist; Kicked,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security
1/7/2025,ED,<N/S>,Inpatient,Physical,"Aggression Toward an Inanimate Object; Intimidation; Threat of Violence; threw blood pressure cuff at RN, called registration rep a 'faggot' and 'queer', called RN 'fat bitch'; Unwelcome or Offensive Touching",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called 911; De-escalation Techniques Utilized; Notified Security; Notified Supervisor
1/7/2025,ED,<N/S>,Visitor,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized
1/7/2025,Other,<N/S>,Outpatient,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Racial / Cultural Comments; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor
1/2/2025,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized
1/8/2025,Other,<N/S>,Inpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Chemical Restraint; De-escalation Techniques Utilized; Notified Security
1/8/2025,Other,Allied Health/Technologist,Inpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor
1/8/2025,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor
1/8/2025,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Hit w/ Fist; Scratched,<N/S>,Other,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor
1/8/2025,BC,<N/S>,Inpatient,Physical,Bitten,<N/S>,Other,None - No emotional and/or psychological impact,<N/S>,Called Code Gray; Physical Hold
1/7/2025,Other,"Nurse (RN, LPN, LNA)",Resident (LTC),Verbal,sexual behavior; Unwelcome or Offensive Language/Gestures,Long Term Care/SNF Bed Unavailable,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor
1/9/2025,Other,<N/S>,Outpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,Notified Supervisor
1/9/2025,BC,<N/S>,Visitor,Verbal,Intimidation; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security
1/10/2025,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Chemical Restraint; De-escalation Techniques Utilized
