Event Date,Physical Injury Incurred? Level of Care,Type of Person Affected,Occupational category of Person Impacted,Type of Violence,Primary Assault Description ,Immediate Actions (Reported),Contributing Factors (Reported),Nature of Injury,Location of Injury on Body,Emotional and/or Psychological Impact,Assault Description,Care/Service Area,Department,OSHA Recordable?,Law Enforcement Contacted,Charges Pressed
8/1/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN- LEAD,Abuse/Assault (Physical),  ,Treatment Provided,Action by Patient/Resident,Bleeding/Hemorrhage; Bruise/Contusion; Pain; Swelling,Nose,  ,"An escort restraint was initiated, and I took the patients left arm while staff on the right arm did not initiate due to a bad angle and patient was able to punch me in the nose causing it to bleed. I was able to go to the bathroom to stop the bleeding and applied ice to my nose.?",Patient Unit - Psych/Behavioral Health,Katahdin 1 North,  ,,
8/2/2024,Unknown,Employee,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,No Action,Action by Patient/Resident; Agitated,  ,,  ,Tech was punched in arm by pt,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
8/6/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,No Action,Other,  ,,  ,"After assaulting a peer in group, pt came out of group to head to room. Per plan, if pt is escalated we lock his room door. I locked room door then stepped back. Pt charged at me and tried to strike my chest. I got my arms up in time and his fist struck my hand/wrist.",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
8/6/2024,Unknown,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Unknown,Patient - None,  ,,  ,"Pt was on their way into the seclusion room, and on the walk by pt. reached out and punched this staff in the chest.?",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
8/6/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Home Rest; No Action,Action by Patient/Resident,Aggravation of Pre-Existing Condition; Emotional Distress; Pain,Chest,  ,"Upon switching 1:1, patient of hospital slapped psych tech on chest, leaving a hand print mark on tech's chest.",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,No,,
8/7/2024,Yes,Employee,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,No Action,Action by Patient/Resident,Pain,Was kicked on the left side of stomach right below ribs?,  ,Patient? stood on the table and was being redirected by nurse when he decided to kick the nurse directly in the stomach/ribs,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,No,,
8/7/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Throwing an Object/Breaking Object,Other; EAP Offered,Action by Patient/Resident,  ,,  ,"I was trying to de-escalate a patient and ask them why they were upset, Pt did not respond to me and instead turned and Threw an empty paper cup over the halfwall and I put my arms up and it bounced off and fell on the ground",Emergency Department,Emergency Department,  ,,
8/7/2024,No,"Affiliate (contracted staff, student)",Nursing Assistant,Abuse/Assault (Physical),Kicking/Hitting/Beating,EAP Offered,Action by Patient/Resident; Patient - Lack of Understanding,  ,,  ,Pt was in her room and had a BM in her pants and on the floor and I tried to go in and help her and she punched me in the stomach and arms.?,Patient Unit - Medical/Surgical,Medical Surgical Unit - G5,  ,,
8/8/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Throwing an Object/Breaking Object,Unknown,Action by Patient/Resident; Agitated,  ,,  ,pt hit me in eye with pee covered shirt,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
8/8/2024,Unknown,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,No Action,Action by Patient/Resident; Agitated,  ,,  ,Pt punched me in the stomach during escalation,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
8/10/2024,Unknown,Employee,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,No Action,Action by Patient/Resident; Agitated,  ,,  ,"Patient became escalated when asked to leave the Occupational Therapy room. Patient bit staff substantively on right forearm. When initiating child hold, staff hurt his knee. During child hold, the patient headbutted staff on face.",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
8/11/2024,No,Employee,Registered Nurse,Abuse/Assault (Physical),Biting,Treatment Provided,Action by Patient/Resident,  ,,  ,"during restraint patient attempted to hit his head on the floor this nurse put hand under to protect patient head when patient attempt to bite my hand. No skin was broken, just bruised.",Grounds & Common Areas,Grounds & Common Areas (Inside),  ,,
8/11/2024,Yes,Employee,ED TECHNICIAN/EMTP,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,De-escalation techniques; Treatment Provided; EAP - Offered/Employee Assistance Program Information Provided; Safety Alert Button Activated,Altered Mental Status; Patient - Lack of Understanding,Other,Left forearm. Multiple skin breaks from patients fingernails.,  ,"Assisting with holding a patient for IM injection. Patient was able to slide arm forward and grabbed my arm. Nails dug into my arm, breaking the skin.",Emergency Department,Emergency Department,No,,
8/13/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Formal complaint filed with law enforcement; Physical Restraints utilized; EAP - Offered/Employee Assistance Program Information Provided,Patient - Lack of Compliance/Adherence,  ,,  ,"The patient was having their stretcher removed from their room in the DEA due to unsafe behavior. The patient was made aware multiple times that if he continued to display unsafe behavior with the stretcher, it would be taken out of the room. When staff came into the room to remove the stretcher, the patient would not move off the stretcher therefore he was escorted off the stretcher so it could be removed. Once it was removed, the patient was told he could sit down but he stated he would not do so and proceeded to physically assault coworker  as well myself (left arm) but punching and hitting. The patient was put into a physical hold until the provider could be contacted for medication intervention. Physical hold order was obtained.?",Emergency Department,Emergency Department,  ,Yes,8/13/2024
8/13/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Patient - Lack of Compliance/Adherence,  ,,  ,"When obtaining vitals on this pt, the pt was willingly letting the nurse get the vitals. However, as this nurse was attempting to remove the finger probe and blood pressure cuff, the pt started to grab and twist the wires and would not let them go. As he is doing this, the pt was repeatedly stating he was going to punch and beat this nurse and others. The patient scratched this RN in the left arm as well, before the staff was able to get the probe and blood pressure cuff off of him. MRN 1364543",Emergency Department,Emergency Department,  ,,
