Event Date,Facility Type,Occupational Category of Person Affected,Aggressor,Type of Violence,Primary Assault Description,Primary Contributing Factors,Severity of Assault,Emotional and/ or Psychological Impact,Level of Care Needed,Response Action Taken,Assault Description,Department/Office Incident Took Place,Assault Description
9/1/2024,BC,<N/S>,Inpatient,Verbal,"Gender / Sexist Comments; Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
9/1/2024,BC,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Bitten; Choked; Grabbed; Intimidation; Scratched; Threat of Violence,<N/S>,Moderate,Mild - Upset / Angry / Scared / Humiliated,Other (please specify),Called Code Gray; De-escalation Techniques Utilized; Mechanical Restraint; Physical Hold; Seclusion,,,
9/1/2024,BC,<N/S>,Inpatient,Physical,Kneed,<N/S>,None,<N/S>,<N/S>,Mechanical Restraint; Physical Hold,,,
9/2/2024,BC,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Bitten; Hit w/ Fist; Intimidation; Kicked; Pushed; Threat of Violence,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Called Code Gray; De-escalation Techniques Utilized; Mechanical Restraint; Notified Security; Notified Supervisor; Physical Hold,,,
9/3/2024,Other,Other,Resident (LTC),Verbal,Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/3/2024,BC,<N/S>,Inpatient,Physical,elbow to the face; Pushed; Threat of Violence,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Called Code Gray; Mechanical Restraint; Physical Hold,,,
9/3/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/3/2024,Other,Security,Inpatient,Physical,Grabbed; Hair Pulling; Scratched,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Security; Notified Supervisor; Physical Hold,,,
9/2/2024,Other,Security,Inpatient,Physical,Grabbed; Pushed; Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,ED,Chemical Restraint; De-escalation Techniques Utilized; Notified Security; Physical Hold,,,
9/3/2024,BC,<N/S>,Inpatient,Physical,Grabbed; Hit w/ Fist; Pushed; Scratched,<N/S>,Moderate,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Called Code Gray; Physical Hold,,,
9/3/2024,BC,<N/S>,Inpatient,Physical,Kicked,<N/S>,None,<N/S>,<N/S>,Called Code Gray; Physical Hold,,,
9/4/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Pushed; Pushed w/ elbow into sternum,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/4/2024,SCU,"Nurse (RN, LPN, LNA)",Inpatient,Physical,throwing silverware,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/4/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Intimidation; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/4/2024,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/4/2024,Other,Allied Health/Technologist,Inpatient,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/5/2024,Other,<N/S>,Outpatient,Verbal,saying threats verbally,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/5/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
